"host\Time","2024-02-26","2024-02-25","2024-02-24","2024-02-23","2024-02-22","2024-02-21","2024-02-20","2024-02-19","2024-02-18","2024-02-17","2024-02-16","2024-02-15","2024-02-14","2024-02-13"
IO-CUP-DE-NUE-001,67.4,61.1,64.5,63.1,72.6,65.3,57.3,57.4,62.2,54.1,54.5,51.4,36.3,35.8
KZ-DDM-FR-ORY-002,75.9,69.8,78.1,62.5,66.7,59.3,78.9,59.7,65.5,54.6,50.6,47.9,83.4,88.9
KZ-RAC-US-BUF-001,89.8,89.9,89.9,89.9,89.9,89.9,89.0,89.4,89.7,87.7,82.5,87.3,89.7,89.5
NH-4VP-CN-HKG-002,26.2,24.2,24.6,26.5,25.1,25.1,25.5,25.5,23.7,24.4,29.6,31.5,33.0,31.7
NH-4VP-ES-MAD-001,57.1,51.3,59.4,55.7,69.0,81.1,78.5,71.6,72.3,59.5,55.8,48.9,31.3,28.1
NH-4VP-RU-LED-001,87.1,86.0,70.7,72.5,69.0,66.8,89.0,81.3,82.2,85.6,38.2,,,
ONE006-TRUSERV-JHB1-029,,,,,,,,,,,,,2.78,
QY-OVH-FR-SXB-002,89.9,90.0,90.0,89.9,90.0,90.0,89.9,90.0,89.9,89.7,89.9,90.0,89.9,89.8
QY-OVH-SG-SIN-001,76.1,76.4,72.1,67.8,66.9,66.0,58.1,63.4,56.4,61.1,58.0,56.0,64.3,67.2
RS-LIG-AE-DWC-001,,,,,,,,,,12.2,8.61,,,
RS-LIG-AE-DXB-001,21.5,23.5,22.8,22.1,22.5,23.7,21.9,22.7,22.4,8.58,,,,
RS-LIG-VN-SGN-001,43.0,42.5,42.3,40.7,39.1,39.7,41.2,40.3,38.6,39.2,10.1,,,
RS-OVH-PL-WAW-001,79.9,84.4,73.9,35.8,,,,,,,,,,
RS-PQH-IT-FCO-001,35.0,31.6,33.6,33.7,36.4,35.6,34.9,32.0,29.5,7.21,,,,
RS-PQH-PL-WAW-001,,,,15.6,25.2,28.7,18.8,23.5,23.1,10.5,,,,
SC-COL-US-LAX-001,36.8,37.7,36.2,38.4,36.6,39.6,36.8,33.9,36.8,37.7,39.9,42.7,43.1,45.1
SH-HTZ-US-ASH-001,89.9,89.9,89.9,90.0,90.0,90.0,89.6,89.8,89.9,89.7,89.8,90.0,90.0,89.8
TA-CUP-AT-VIE-420,27.0,27.1,25.4,26.7,27.6,25.5,22.3,22.9,25.0,24.5,26.2,24.7,28.0,28.2
TA-TRH-US-MCI-420,87.6,85.7,87.3,83.9,81.8,84.7,77.9,79.4,76.9,75.9,76.7,81.8,87.4,75.4
TA-VUL-US-PHX-420,31.7,38.5,37.3,34.4,33.8,35.2,35.4,37.2,38.1,35.4,30.4,29.6,29.8,29.8
TY-OVH-FR-OST-930,89.9,90.0,89.9,89.9,89.9,89.4,89.8,90.0,90.0,89.9,90.0,90.0,89.9,89.4
TY-VUL-CL-SCL-930,35.2,40.1,31.0,27.0,42.1,31.0,30.5,39.6,33.4,30.9,13.4,40.6,38.8,41.8
TY-WLI-US-ACY-930,89.7,89.0,89.4,88.2,88.5,89.0,89.9,89.9,89.4,89.9,89.9,89.6,89.0,14.7
WD-CON-GB-LGW-004,53.9,58.3,41.9,34.0,34.0,36.1,43.7,37.9,33.0,26.0,42.3,48.6,57.5,65.7
WD-CON-SG-SIN-002,38.6,40.2,42.8,41.1,42.2,40.9,44.1,40.6,39.1,35.4,35.7,32.7,37.3,37.6
WD-PQH-SE-ARN-001,30.4,27.4,30.4,32.8,34.8,33.7,32.5,32.9,28.9,32.1,34.4,29.9,30.2,28.4
WD-ULT-TR-IST-003,39.4,32.9,36.6,40.0,36.0,34.1,35.1,39.3,27.4,32.8,36.4,31.6,31.6,32.3
WP-CON-AU-SYD-412,31.1,27.3,32.2,34.5,35.4,36.5,30.7,29.2,26.3,29.7,34.4,33.6,31.4,31.3
WP-CON-JP-NRT-724,,,,,,,,,,5.36,34.4,33.1,31.4,32.3
WP-CON-SG-SIN-412,24.0,25.7,27.6,30.6,29.8,28.9,28.0,28.5,28.3,26.4,26.5,26.3,25.6,27.0
WP-VUL-KR-GMP-412,44.8,48.4,42.9,41.8,61.8,71.5,64.2,55.3,43.9,39.3,60.6,58.6,45.5,47.7
XA-PQH-IS-RKV-001,26.4,22.6,20.8,22.5,21.3,21.2,31.7,26.2,25.0,24.3,23.4,22.9,27.5,26.9
ZZ-ZZZ-US-SLC-000,29.4,31.3,28.6,27.8,34.6,29.8,27.1,26.1,25.6,28.3,28.4,25.3,24.5,30.7
