"host\Time","2024-02-26","2024-02-25","2024-02-24","2024-02-23","2024-02-22","2024-02-21","2024-02-20","2024-02-19","2024-02-18","2024-02-17","2024-02-16","2024-02-15","2024-02-14","2024-02-13"
00-HTZ-FI-HEL-001,89.1,89.9,89.9,88.9,89.9,89.2,89.9,90.0,90.0,89.9,89.9,89.9,89.7,89.3
00-HTZ-FI-HEL-002,89.9,89.9,12.3,89.9,89.9,88.8,87.9,89.8,89.9,89.8,89.9,89.8,89.5,89.0
07E4DFBEFBA8,,,0.0117,,,,,,,,,,,
09649CD6A442,,0.00347,,,,,,,,,,,,
09D5877DD1B0,,0.0104,,,,,,,,,,,,
40F1CE7924CE,,,0.00370,,,,,,,,,,,
44963749B127,,0.000289,,,,,,,,,,,,
4N-DED-US-ATL-001,89.8,89.9,89.9,89.7,89.7,89.9,88.2,89.9,89.9,89.6,89.8,89.7,89.0,89.0
4N-DED-US-DFW-US7,80.4,88.7,84.2,78.6,72.7,73.6,61.3,77.2,69.5,75.9,79.7,73.8,58.3,78.2
4N-REL-US-MIA-US8,78.1,86.3,86.2,56.3,48.6,52.4,48.7,52.6,44.3,51.1,46.6,80.4,83.2,87.2
4N-RSI-US-EWR-002,89.9,90.0,89.9,89.7,89.9,89.6,89.3,89.8,89.7,89.7,89.8,89.1,89.0,89.6
4N-WST-NL-AMS-001,89.9,89.9,89.9,89.9,89.9,89.9,89.4,89.6,88.7,89.2,87.3,89.2,89.7,89.8
70F8A0771212,,1.40,0.383,,,,,,,,,,,
9B6BA28642A9,,1.44,0.275,,,,,,,,,,,
AQ-CON-DE-DUS-322,46.7,52.1,52.0,37.5,40.6,40.5,34.8,57.6,41.7,33.2,39.9,42.0,41.4,26.1
AQ-CON-JP-NRT-322,25.0,30.6,31.5,30.4,27.7,27.6,25.1,26.8,25.6,26.1,29.3,27.6,26.7,27.3
AQ-VUL-CL-SCL-322,38.4,44.0,30.8,26.8,26.6,27.6,26.6,26.0,26.8,28.8,28.0,41.1,40.3,47.0
AQ-VUL-IL-TLV-322,,,,,,,,,66.1,89.2,89.5,89.0,87.6,81.7
AQ-VUL-MX-MEX-322,89.7,89.9,89.7,87.7,88.2,88.0,87.3,88.4,89.5,88.2,89.8,87.9,88.8,89.2
BC-PQH-TR-IST-456,58.6,65.4,79.3,54.6,50.9,42.4,55.7,35.6,30.8,44.4,68.2,62.8,56.4,54.6
BD-SSD-AU-SYD-001,24.9,25.2,23.0,22.7,21.7,21.8,20.9,24.1,24.3,25.8,26.3,22.2,23.8,26.2
BD-SSD-JP-NRT-000,,,,,,,,,,,,0.629,25.7,26.1
BD-ZON-AT-VIE-000,89.9,89.9,89.8,89.8,90.0,90.0,89.9,88.3,89.2,89.7,90.0,89.9,89.2,89.8
BO-HTZ-US-PDX-085,84.4,85.3,88.6,87.4,74.3,84.9,75.3,64.5,67.9,73.7,74.8,64.5,84.6,88.8
BO-STR-DE-BER-001,35.9,34.7,34.4,33.7,30.5,29.2,27.9,26.7,25.0,26.7,26.9,28.7,32.5,30.4
CAD012DACE76,,0.000116,,,,,,,,,,,,
CR-ATL-CA-YYZ-222,,,,,,,,,,,28.3,33.5,33.8,37.1
CR-DED-US-ICT-111,30.3,34.8,32.8,32.0,31.1,31.9,32.7,33.1,32.1,32.0,30.8,30.2,31.0,31.8
CR-DOC-DE-FRA-008,62.7,50.2,40.9,43.2,37.6,33.8,35.8,37.0,33.6,32.4,30.9,29.5,36.8,36.5
CR-WOR-NL-RTM-666,89.0,89.8,90.0,89.9,90.0,89.8,89.5,89.9,89.9,89.8,89.8,90.0,89.9,89.8
CS-COL-NL-AMS-000,33.1,31.7,33.2,35.3,40.8,36.5,34.3,33.4,32.1,30.7,32.5,30.7,34.4,36.6
CS-COL-US-ALB-000,42.3,42.1,40.2,46.4,43.3,45.1,46.1,45.5,40.1,42.8,42.1,40.1,44.8,46.8
CS-CON-US-CAE-000,,,15.3,89.7,89.7,89.8,89.9,89.9,89.8,89.9,89.9,89.8,89.7,88.9
CS-HTZ-DE-BYU-001,89.8,89.9,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.9,89.9,90.0,89.9,89.8
CS-HTZ-DE-NUE-001,89.9,90.0,90.0,89.7,89.9,90.0,89.9,90.0,90.0,89.9,89.6,90.0,89.9,89.8
CS-HTZ-FI-HEL-000,90.0,89.9,89.9,89.8,90.0,89.8,90.0,89.9,89.8,86.1,89.0,89.9,87.8,89.8
CS-HTZ-US-PDX-000,73.8,74.5,74.6,74.5,73.1,74.3,73.2,69.7,71.9,69.2,73.1,67.3,70.0,74.0
CS-ZON-AT-VIE-000,,,,85.8,88.6,89.5,89.9,88.4,87.4,85.5,90.0,90.0,89.5,89.8
DL-CON-AU-SYD-000,34.2,30.1,31.7,33.2,31.7,31.4,31.1,32.4,33.6,36.0,37.5,42.2,43.0,41.6
E2B6FED009E5,,,0.0353,,,,,,,,,,,
FF-CON-US-SEA-777,34.9,34.7,32.5,32.3,32.3,34.9,31.6,32.9,29.7,37.7,37.0,38.2,36.4,38.4
FL-DOC-IN-BLR-025,56.8,5.88,44.0,35.1,33.1,28.3,46.0,39.9,41.5,40.5,34.1,39.8,36.5,34.5
FL-DOC-US-SFO-027,75.2,55.7,68.7,65.0,77.0,73.1,83.9,83.1,85.5,85.1,76.5,84.2,66.7,69.9
FX-OVH-FR-LIL-001,89.6,90.0,89.7,89.1,89.4,88.0,90.0,90.0,90.0,89.4,89.2,89.8,89.7,89.8
GJ-ONE-BR-GRU-614,7.77,7.59,23.1,23.8,20.8,22.9,21.4,21.9,21.1,22.1,22.4,22.7,21.5,23.3
GJ-ONE-ZA-JNB-614,30.7,30.5,29.5,30.7,27.1,25.8,26.2,24.7,26.7,28.3,25.8,27.0,7.87,
GL-TRH-NO-OSL-777,88.2,89.9,89.9,89.7,89.9,89.6,83.4,89.3,90.0,89.9,89.9,89.9,89.9,89.7
HS-CON-US-STL-001,1.99,0.547,,,,,,,,,,,,
HS-HTZ-DE-NUE-002,2.00,0.00370,,,,,,,,,,,,
IM-OVH-CA-YUL-123,70.1,69.2,72.7,70.0,67.4,68.6,66.4,67.4,64.8,67.6,69.6,65.5,70.6,76.2
IO-CUP-AT-VIE-001,89.2,84.5,86.6,89.3,89.4,89.9,89.9,89.3,87.9,89.7,89.0,88.4,83.2,49.2
IO-CUP-DE-FMM-001,67.4,62.6,63.3,67.0,57.2,58.7,62.9,62.7,50.0,53.8,48.8,44.8,42.1,40.6
