"host\Time","2024-01-01","2023-12-31","2023-12-30","2023-12-29","2023-12-28","2023-12-27","2023-12-26","2023-12-25","2023-12-24","2023-12-23","2023-12-22","2023-12-21","2023-12-20","2023-12-19"
00-HTZ-FI-HEL-001,60.3,43.1,59.2,57.2,51.8,53.8,82.5,61.6,59.4,68.9,76.9,49.5,51.9,51.9
00-HTZ-FI-HEL-002,74.8,72.9,82.6,75.3,64.8,65.7,71.4,85.5,79.8,83.9,75.0,64.2,63.7,59.2
4N-DED-US-ATL-001,89.3,89.7,89.1,87.1,77.5,83.1,81.8,73.8,72.6,88.8,87.1,89.5,89.6,89.4
4N-DED-US-DFW-US7,67.5,77.9,75.0,68.0,72.6,74.4,67.1,61.5,65.3,87.0,88.0,88.7,86.8,88.7
4N-REL-US-MIA-US8,78.0,79.1,76.3,82.6,67.0,78.7,62.5,60.5,68.5,83.1,79.2,69.5,86.0,44.9
4N-RSI-US-EWR-002,87.3,89.6,89.5,88.8,89.7,89.8,89.3,89.3,88.7,89.6,89.8,89.9,89.9,89.8
4N-WST-NL-AMS-001,73.7,60.4,64.7,52.3,56.9,61.1,69.8,68.3,63.6,59.5,49.7,49.9,44.8,44.3
AQ-VUL-IL-TLV-322,43.6,21.6,,,,,,,,,,,,
AQ-VUL-MX-MEX-322,88.5,88.1,,,,,,,,,,,,
BC-PQH-TR-IST-456,18.8,16.4,16.1,15.6,15.3,12.0,11.8,11.0,10.5,8.55,9.07,11.7,5.98,
BD-SSD-AU-SYD-001,29.7,30.4,30.3,29.1,29.9,29.5,24.1,21.4,20.5,19.8,18.4,21.9,23.2,24.0
BD-SSD-JP-NRT-000,23.4,20.9,21.2,20.1,20.6,19.0,19.0,18.7,18.9,21.1,21.9,26.6,27.6,26.6
BD-SSD-US-ATL-000,,,,,,,,,11.8,40.1,39.9,42.5,39.6,47.3
BD-ZON-AT-VIE-000,15.7,15.1,25.9,66.5,64.6,67.1,82.4,85.8,83.9,79.3,68.7,75.8,79.9,63.9
BO-STR-DE-BER-001,49.6,55.2,48.1,41.9,41.0,34.7,48.4,45.7,36.0,33.1,29.1,27.8,25.9,22.5
CR-DOC-DE-FRA-008,88.2,77.1,66.9,70.3,60.6,58.1,89.2,86.9,3.57,68.5,70.2,60.6,58.5,62.1
CR-PQH-DE-FRA-003,18.9,17.1,17.0,17.0,17.4,17.4,17.5,17.0,20.5,21.8,20.4,17.0,14.8,6.23
CR-PQH-FR-CDG-007,18.0,18.9,18.7,17.4,18.2,19.3,20.2,17.8,16.6,16.0,15.8,13.8,15.1,14.9
CS-COL-NL-AMS-000,19.4,20.3,21.8,19.5,20.3,20.2,20.4,20.3,18.1,0,,,,
CS-COL-US-ALB-000,29.2,33.2,38.1,34.3,44.3,56.0,44.5,42.2,33.0,,,,,
CS-COL-US-COS-000,19.8,18.3,20.5,20.7,20.8,20.4,19.5,21.8,19.0,,,,,
CS-CON-DE-DUS-000,19.6,19.5,20.3,20.1,20.4,20.5,21.4,45.2,85.1,81.7,65.6,58.1,35.2,30.8
CS-CON-US-CAE-000,86.5,89.9,88.8,89.8,89.7,89.9,87.8,89.0,2.99,72.8,71.2,57.5,47.4,48.8
CS-HTZ-DE-BYU-001,42.9,35.4,42.3,41.7,35.6,41.5,41.9,47.8,38.3,32.5,30.4,32.4,39.5,40.1
CS-HTZ-DE-NUE-000,89.5,86.7,84.4,82.9,83.2,86.2,88.9,87.8,86.8,84.0,65.6,50.8,45.2,32.1
CS-HTZ-DE-NUE-001,89.9,89.3,87.5,85.2,86.4,83.1,86.2,83.4,77.7,82.9,64.4,57.5,44.6,34.2
CS-HTZ-FI-HEL-000,46.4,51.0,67.5,54.3,62.6,58.5,72.6,77.2,75.9,78.6,70.6,62.8,55.0,55.9
CS-HTZ-US-ASH-000,86.7,85.7,84.7,74.9,85.5,88.1,85.8,84.0,87.2,87.4,89.7,89.2,89.8,89.1
CS-HTZ-US-PDX-000,68.3,64.0,61.1,62.5,64.4,54.4,52.8,48.5,51.1,64.6,52.3,52.1,56.0,52.5
CS-OVH-CA-YUL-000,86.3,88.6,87.0,88.0,88.6,89.2,68.0,47.9,63.1,74.6,57.2,97.2,120,119
CS-ZON-AT-VIE-000,87.5,75.6,76.7,69.2,73.6,71.0,79.6,76.3,78.4,86.1,81.1,68.6,75.1,67.5
DL-CON-AU-SYD-000,26.9,29.8,32.5,30.2,26.6,25.9,23.3,22.2,19.8,20.6,19.1,21.5,21.2,20.4
FL-DOC-IN-BLR-025,35.8,36.5,40.7,36.9,28.6,19.4,17.0,8.33,13.4,0.0252,27.9,22.6,21.5,23.2
FX-OVH-FR-LIL-001,89.7,84.9,83.2,85.1,30.7,57.6,77.1,74.8,79.7,77.6,53.7,57.7,44.2,40.4
GL-TRH-NO-OSL-777,80.0,79.2,90.0,89.6,85.8,64.2,53.7,71.6,70.7,48.0,44.6,44.4,37.2,35.5
IO-AZU-NL-AMS-001,42.6,34.8,34.8,29.9,28.8,29.0,31.2,27.4,25.6,23.8,22.3,25.0,12.2,27.1
IO-AZU-UK-LHR-001,50.6,11.0,52.8,44.8,38.2,48.5,8.76,38.2,38.1,35.0,56.1,44.2,33.5,58.8
IO-AZU-US-DCA-001,42.8,43.6,71.2,82.8,54.6,45.2,38.7,39.0,31.2,28.5,88.6,89.4,88.6,89.5
KZ-AZA-FR-XCR-001,84.3,65.5,49.4,56.2,61.7,52.3,20.9,,,,,,,
