"host\Time","2024-01-01","2023-12-31","2023-12-30","2023-12-29","2023-12-28","2023-12-27","2023-12-26","2023-12-25","2023-12-24","2023-12-23","2023-12-22","2023-12-21","2023-12-20","2023-12-19"
KZ-AZA-US-LAX-001,30.7,30.5,45.7,49.9,62.4,58.7,11.0,,,,,,,
KZ-PQH-CH-ZRH-001,,,,,,,9.42,16.5,15.1,16.2,15.9,14.2,4.13,7.00
KZ-PQH-ES-MAD-001,18.5,19.4,16.8,15.8,16.2,15.7,15.7,17.5,21.7,19.0,19.2,15.5,10.6,15.5
KZ-PQH-NL-AMS-001,,,,,,,11.0,17.8,17.3,16.1,16.1,16.9,20.1,17.9
NH-PQH-CN-HKG-001,11.5,16.7,22.7,6.58,,,,,,,,,,
NH-PQH-KZ-ALA-001,15.4,15.1,3.73,,,,,,,,,,,
NH-PQH-KZ-ALA-001.STARK-INDUSTRIES.SOLUTIONS,,,0.0418,,,,,,,,,,,
QY-OVH-SG-SIN-001,44.3,40.8,4.00,,,,,,,,,,,
SC-COL-US-LAX-001,31.2,30.5,28.8,25.3,25.8,27.6,25.4,24.6,25.4,27.1,27.4,29.3,29.1,28.9
TA-TRH-US-MCI-420,2.61,,,,,,,,,,,,,
TA-VUL-US-MDW-420,89.8,90.0,90.0,89.7,90.0,89.9,89.7,89.4,86.8,0.0951,,,,
TY-KAM-IT-MXP-930,10.4,23.1,37.9,54.3,61.2,44.3,5.89,,,,,,,
TY-PQH-IE-DUB-930,,,,,,12.1,24.7,21.7,18.5,22.0,18.7,17.2,8.00,
TY-VEL-US-MA-930,,,,,,,,,12.3,30.3,8.70,,,
TY-VEL-US-MIA-930,24.2,31.0,29.0,28.0,27.8,34.4,26.5,26.6,11.3,,,,,
TY-VUL-ZA-JNB-930,21.8,23.0,24.3,19.9,18.5,4.92,,,,,,,,
WD-CON-GB-LGW-004,29.6,33.5,35.0,31.8,31.5,35.7,37.0,35.9,33.2,34.2,40.3,37.5,30.1,27.4
WD-CON-SG-SIN-002,32.7,34.3,28.1,29.5,33.5,34.2,34.3,31.9,31.1,34.0,29.3,29.8,27.1,28.4
WD-ULT-TR-IST-003,23.1,25.7,27.2,24.4,23.4,23.4,26.8,25.6,24.6,19.4,19.4,17.3,17.2,9.12
WD-VUL-SE-ARN-001,82.5,70.0,76.6,71.4,69.8,60.5,79.5,84.2,81.2,80.0,70.7,68.6,70.8,62.6
WP-BLM-US-DCA-412,88.9,89.4,89.5,89.8,89.5,89.7,88.4,88.5,88.9,88.3,89.6,75.8,77.1,87.5
WP-BLM-US-DCA-724,89.7,89.9,89.7,89.9,89.6,89.9,88.5,89.2,89.4,89.0,89.7,76.2,76.9,80.6
WP-BLM-US-LAX-412,79.3,85.2,80.0,78.2,82.2,79.6,68.0,68.1,63.7,78.9,73.8,79.5,71.9,75.3
WP-CON-AU-SYD-412,27.4,26.3,25.4,24.5,23.5,22.4,18.7,17.4,17.4,18.8,18.6,21.1,19.6,16.2
WP-CON-JP-NRT-412,,,,,,,,3.11,18.9,19.6,19.2,16.2,19.4,18.4
WP-CON-JP-NRT-724,26.2,20.7,18.8,18.9,20.3,21.0,19.0,22.3,22.5,21.3,21.5,19.3,18.4,16.8
WP-CON-SG-SIN-412,26.8,27.3,26.6,27.6,30.1,31.7,25.9,24.8,22.9,24.7,20.9,22.0,18.8,16.7
WP-CON-US-SEA-412,19.1,21.0,22.4,22.8,23.0,22.3,22.8,22.1,21.1,21.8,26.2,25.4,25.4,23.5
WP-CON-US-STL-412,,,,,,,,,,,,,14.7,88.3
WP-CON-US-STL-724,46.6,51.3,39.8,38.6,46.9,55.0,49.7,36.4,35.2,50.6,47.8,65.2,73.5,26.4
WP-HTZ-DE-DRS-412,64.2,80.4,81.8,77.7,78.8,81.2,74.5,82.4,79.6,77.0,63.3,46.2,32.5,32.9
WP-VUL-IL-TLV-412,,25.8,36.4,30.1,32.2,31.9,46.4,47.2,41.6,39.9,31.4,32.5,34.3,29.1
WP-VUL-KR-GMP-412,19.3,19.3,23.9,23.9,22.1,24.6,36.4,42.2,57.9,40.3,77.4,66.9,19.7,45.1
WP-VUL-MX-MEX-412,,65.0,74.8,74.8,74.9,74.9,74.5,73.0,73.6,74.7,74.8,73.4,74.0,75.0
XA-PQ-IS-RKV-001,,,,,,,,,5.31,,,,,
XA-PQH-IS-RKV-001,19.7,18.2,18.4,16.4,16.5,16.1,16.6,16.0,6.00,,,,,
ZZ-ZZZ-US-SLC-000,24.8,23.7,24.3,24.0,27.7,28.2,25.3,24.4,24.4,24.3,23.2,28.6,26.8,24.9
