"host\Time","2023-12-25","2023-12-24","2023-12-23","2023-12-22","2023-12-21","2023-12-20","2023-12-19","2023-12-18","2023-12-17","2023-12-16","2023-12-15","2023-12-14","2023-12-13","2023-12-12"
00-HTZ-FI-HEL-001,61.6,59.4,68.9,76.9,49.5,51.9,51.9,62.4,55.4,58.3,39.7,85.3,54.1,38.7
00-HTZ-FI-HEL-002,85.5,79.8,83.9,75.0,64.2,63.7,59.2,73.8,65.1,56.7,43.4,77.8,66.5,86.3
4N-DED-US-ATL-001,73.8,72.6,88.8,87.1,89.5,89.6,89.4,89.7,89.6,88.3,87.9,62.4,47.6,42.8
4N-DED-US-DFW-US7,61.5,65.3,87.0,88.0,88.7,86.8,88.7,87.3,88.8,74.5,77.2,43.7,40.6,51.1
4N-REL-US-MIA-US8,60.5,68.5,83.1,79.2,69.5,86.0,44.9,51.5,68.6,56.6,71.5,29.5,35.9,41.9
4N-RSI-US-EWR-002,89.3,88.7,89.6,89.8,89.9,89.9,89.8,89.7,89.1,89.8,88.7,81.3,85.3,80.0
4N-WST-NL-AMS-001,68.3,63.6,59.5,49.7,49.9,44.8,44.3,35.8,41.5,46.8,56.7,56.2,72.3,85.6
BC-PQH-TR-IST-456,11.0,10.5,8.55,9.07,11.7,5.98,,,,,,,,
BD-SSD-AU-SYD-001,21.4,20.5,19.8,18.4,21.9,23.2,24.0,25.5,27.1,29.6,29.6,23.9,22.9,27.0
BD-SSD-JP-NRT-000,18.7,18.9,21.1,21.9,26.6,27.6,26.6,29.4,26.8,25.8,22.2,18.3,18.7,19.7
BD-SSD-US-ATL-000,,11.8,40.1,39.9,42.5,39.6,47.3,56.8,45.5,43.7,48.3,22.9,23.2,11.3
BD-ZON-AT-VIE-000,85.8,83.9,79.3,68.7,75.8,79.9,63.9,71.3,70.4,70.1,73.3,84.7,87.9,80.3
BO-STR-DE-BER-001,45.7,36.0,33.1,29.1,27.8,25.9,22.5,22.7,22.4,22.6,25.0,23.0,24.4,23.1
CR-DOC-DE-FRA-008,86.9,3.57,68.5,70.2,60.6,58.5,62.1,69.2,53.4,40.1,39.9,69.9,73.5,69.6
CR-PQH-DE-FRA-003,17.0,20.5,21.8,20.4,17.0,14.8,6.23,16.8,16.5,4.81,,,,
CR-PQH-FR-CDG-007,17.8,16.6,16.0,15.8,13.8,15.1,14.9,5.42,,,,,,
CS-COL-NL-AMS-000,20.3,18.1,0,,,,,,,,15.7,19.2,18.5,19.2
CS-COL-US-ALB-000,42.2,33.0,,,,,,,,,52.2,22.8,21.3,26.3
CS-COL-US-COS-000,21.8,19.0,,,,,,,,,19.0,22.2,23.8,26.1
CS-CON-DE-DUS-000,45.2,85.1,81.7,65.6,58.1,35.2,30.8,26.1,29.0,31.8,30.1,75.2,82.0,75.8
CS-CON-US-CAE-000,89.0,2.99,72.8,71.2,57.5,47.4,48.8,47.5,65.0,74.9,74.2,74.2,69.4,66.4
CS-HTZ-DE-BYU-001,47.8,38.3,32.5,30.4,32.4,39.5,40.1,56.3,40.6,39.3,1.84,34.4,51.8,67.1
CS-HTZ-DE-NUE-000,87.8,86.8,84.0,65.6,50.8,45.2,32.1,39.9,34.6,40.7,1.41,63.6,69.0,62.9
CS-HTZ-DE-NUE-001,83.4,77.7,82.9,64.4,57.5,44.6,34.2,33.5,34.8,42.9,49.6,62.5,36.4,60.3
CS-HTZ-FI-HEL-000,77.2,75.9,78.6,70.6,62.8,55.0,55.9,70.7,47.6,33.6,1.18,73.5,61.8,68.8
CS-HTZ-US-ASH-000,84.0,87.2,87.4,89.7,89.2,89.8,89.1,88.9,43.1,44.8,4.89,,,
CS-HTZ-US-DCA-000,,,,,,,,,,,4.38,68.3,62.8,52.4
CS-HTZ-US-PDX-000,48.5,51.1,64.6,52.3,52.1,56.0,52.5,51.0,59.9,51.8,1.15,51.7,47.1,49.3
CS-OVH-CA-YUL-000,47.9,63.1,74.6,57.2,97.2,120,119,115,113,116,105,38.8,28.1,28.9
CS-ZON-AT-VIE-000,76.3,78.4,86.1,81.1,68.6,75.1,67.5,84.9,77.4,72.3,57.8,83.7,89.1,89.5
DL-CON-AU-SYD-000,22.2,19.8,20.6,19.1,21.5,21.2,20.4,26.8,24.5,24.2,24.7,26.7,28.6,31.3
FL-DOC-IN-BLR-025,8.33,13.4,0.0252,27.9,22.6,21.5,23.2,29.9,31.7,27.7,28.0,27.6,25.8,27.6
