"host\Time","2023-12-25","2023-12-24","2023-12-23","2023-12-22","2023-12-21","2023-12-20","2023-12-19","2023-12-18","2023-12-17","2023-12-16","2023-12-15","2023-12-14","2023-12-13","2023-12-12"
FX-OVH-FR-LIL-001,74.8,79.7,77.6,53.7,57.7,44.2,40.4,42.9,39.2,49.2,56.0,73.1,86.0,52.4
GL-TRH-NO-OSL-777,71.6,70.7,48.0,44.6,44.4,37.2,35.5,45.0,40.9,40.6,49.5,82.8,74.0,87.2
IO-AZU-NL-AMS-001,27.4,25.6,23.8,22.3,25.0,12.2,27.1,33.5,34.9,30.7,34.6,42.2,46.0,37.8
IO-AZU-UK-LHR-001,38.2,38.1,35.0,56.1,44.2,33.5,58.8,77.4,77.5,70.0,71.7,10.9,64.9,87.5
IO-AZU-US-DCA-001,39.0,31.2,28.5,88.6,89.4,88.6,89.5,89.8,89.5,75.1,57.2,22.2,61.9,49.0
KZ-PQH-CH-ZRH-001,16.5,15.1,16.2,15.9,14.2,4.13,7.00,10.7,14.3,16.6,21.6,20.3,19.7,21.0
KZ-PQH-ES-MAD-001,17.5,21.7,19.0,19.2,15.5,10.6,15.5,14.4,15.9,15.9,21.2,23.3,25.5,25.8
KZ-PQH-NL-AMS-001,17.8,17.3,16.1,16.1,16.9,20.1,17.9,19.3,19.6,17.9,17.0,18.3,16.1,18.7
SC-COL-US-LAX-001,24.6,25.4,27.1,27.4,29.3,29.1,28.9,30.9,31.3,0,0,0,,
SH-HTZ-US-ASH-000,,,,,,,,,,,60.7,74.6,63.3,72.5
TA-VUL-US-MDW-420,89.4,86.8,0.0951,,,,,,,,,,,
TY-PQH-IE-DUB-930,21.7,18.5,22.0,18.7,17.2,8.00,,,,,,,,
TY-VEL-US-MA-930,,12.3,30.3,8.70,,,,,,,,,,
TY-VEL-US-MIA-930,26.6,11.3,,,,,,,,,,,,
UBUNTU,,,,,,,,,,13.2,19.1,4.73,,
VM1924671.STARK-INDUSTRIES.SOLUTIONS,,,,,,,,,,,4.49,4.28,,
WD-CON-GB-LGW-004,35.9,33.2,34.2,40.3,37.5,30.1,27.4,29.8,30.8,8.60,0.292,9.53,8.80,8.75
WD-CON-SG-SIN-002,31.9,31.1,34.0,29.3,29.8,27.1,28.4,29.3,29.9,5.74,0.266,9.32,9.15,9.45
WD-ULT-TR-IST-003,25.6,24.6,19.4,19.4,17.3,17.2,9.12,21.3,17.9,17.1,15.7,16.5,19.2,16.7
WD-VUL-SE-ARN-001,84.2,81.2,80.0,70.7,68.6,70.8,62.6,62.5,63.4,67.0,1.57,83.1,88.1,89.0
WP-BLM-US-DCA-412,88.5,88.9,88.3,89.6,75.8,77.1,87.5,42.1,54.9,69.8,88.7,89.2,89.1,88.8
WP-BLM-US-DCA-724,89.2,89.4,89.0,89.7,76.2,76.9,80.6,4.93,,,,,,
WP-BLM-US-IAD-412,,,,,,,,37.3,85.1,81.7,63.5,65.6,81.8,71.9
WP-BLM-US-LAX-412,68.1,63.7,78.9,73.8,79.5,71.9,75.3,68.9,65.7,82.0,71.7,52.5,49.2,49.7
WP-CON-AU-SYD-412,17.4,17.4,18.8,18.6,21.1,19.6,16.2,2.36,,,,,,
WP-CON-JP-NRT-412,3.11,18.9,19.6,19.2,16.2,19.4,18.4,20.7,22.3,26.0,27.2,20.4,20.6,26.6
WP-CON-JP-NRT-724,22.3,22.5,21.3,21.5,19.3,18.4,16.8,2.73,,,,,,
WP-CON-SG-SIN-412,24.8,22.9,24.7,20.9,22.0,18.8,16.7,2.50,,,,,,
WP-CON-US-SEA-412,22.1,21.1,21.8,26.2,25.4,25.4,23.5,20.9,16.1,14.7,16.2,16.5,19.0,20.2
WP-CON-US-STL-412,,,,,,14.7,88.3,73.3,83.8,86.4,84.7,64.6,65.7,69.5
WP-CON-US-STL-724,36.4,35.2,50.6,47.8,65.2,73.5,26.4,3.66,,,,,,
WP-HTZ-DE-DRS-412,82.4,79.6,77.0,63.3,46.2,32.5,32.9,52.3,43.3,51.1,55.3,75.5,71.4,87.5
WP-VUL-CL-SCL-412,,,,,,,,,,,15.6,27.2,22.9,25.2
WP-VUL-IL-TLV-412,47.2,41.6,39.9,31.4,32.5,34.3,29.1,33.3,28.9,28.4,33.7,47.2,52.5,9.41
WP-VUL-KR-GMP-412,42.2,57.9,40.3,77.4,66.9,19.7,45.1,5.49,,,,,,
WP-VUL-MX-MEX-412,73.0,73.6,74.7,74.8,73.4,74.0,75.0,75.0,74.8,75.0,74.2,70.0,70.9,18.9
XA-PQ-IS-RKV-001,,5.31,,,,,,,,,,,,
XA-PQH-IS-RKV-001,16.0,6.00,,,,,,,,,,,,
ZZ-ZZZ-US-SLC-000,24.4,24.4,24.3,23.2,28.6,26.8,24.9,26.3,29.8,31.1,7.77,25.5,22.8,24.6
