"host\Time","2023-12-18","2023-12-17","2023-12-16","2023-12-15","2023-12-14","2023-12-13","2023-12-12","2023-12-11","2023-12-10","2023-12-09","2023-12-08","2023-12-07","2023-12-06","2023-12-05"
00-HTZ-FI-HEL-001,62.4,55.4,58.3,39.7,85.3,54.1,38.7,40.4,39.7,23.2,19.0,74.0,74.9,74.7
00-HTZ-FI-HEL-002,73.8,65.1,56.7,43.4,77.8,66.5,86.3,80.7,85.5,34.7,72.2,74.0,74.9,74.5
4N-DED-US-ATL-001,89.7,89.6,88.3,87.9,62.4,47.6,42.8,53.2,80.7,72.6,46.9,39.1,34.2,36.6
4N-DED-US-DFW-US7,87.3,88.8,74.5,77.2,43.7,40.6,51.1,36.8,30.4,32.3,25.8,22.3,30.2,30.2
4N-REL-US-MIA-US8,51.5,68.6,56.6,71.5,29.5,35.9,41.9,36.1,28.2,31.5,22.3,20.3,20.3,20.5
4N-RSI-US-EWR-002,89.7,89.1,89.8,88.7,81.3,85.3,80.0,60.2,56.3,56.8,52.2,30.1,27.6,30.9
4N-WST-NL-AMS-001,35.8,41.5,46.8,56.7,56.2,72.3,85.6,77.6,63.7,67.7,88.5,107,101,51.8
BD-SSD-AU-SYD-001,25.5,27.1,29.6,29.6,23.9,22.9,27.0,27.2,29.7,29.1,27.5,36.0,40.7,52.7
BD-SSD-JP-NRT-000,29.4,26.8,25.8,22.2,18.3,18.7,19.7,19.0,20.2,19.1,19.9,18.3,20.5,5.92
BD-SSD-US-ATL-000,56.8,45.5,43.7,48.3,22.9,23.2,11.3,7.95,29.1,28.0,13.2,22.8,21.2,12.7
BD-ZON-AT-VIE-000,71.3,70.4,70.1,73.3,84.7,87.9,80.3,87.8,88.7,89.6,91.8,123,125,123
BO-STR-DE-BER-001,22.7,22.4,22.6,25.0,23.0,24.4,23.1,22.2,22.0,24.2,23.9,37.8,34.6,60.8
CR-DOC-DE-FRA-008,69.2,53.4,40.1,39.9,69.9,73.5,69.6,56.5,68.0,73.6,20.1,69.5,74.5,74.0
CR-PQH-DE-FRA-003,16.8,16.5,4.81,,,,,,,,,,,
CR-PQH-FR-CDG-007,5.42,,,,,,,,,,,,,
CS-COL-NL-AMS-000,,,,15.7,19.2,18.5,19.2,19.8,4.03,,,,,
CS-COL-US-ALB-000,,,,52.2,22.8,21.3,26.3,24.6,4.79,,,,25.4,30.0
CS-COL-US-COS-000,,,,19.0,22.2,23.8,26.1,25.8,26.6,25.5,21.9,18.0,18.2,21.5
CS-CON-DE-DUS-000,26.1,29.0,31.8,30.1,75.2,82.0,75.8,47.8,10.2,,,,,
CS-CON-US-CAE-000,47.5,65.0,74.9,74.2,74.2,69.4,66.4,70.8,68.9,64.0,64.7,38.2,37.3,44.3
CS-HTZ-DE-BYU-001,56.3,40.6,39.3,1.84,34.4,51.8,67.1,76.8,82.8,88.1,46.5,70.5,80.1,85.7
CS-HTZ-DE-NUE-000,39.9,34.6,40.7,1.41,63.6,69.0,62.9,68.2,72.1,74.6,73.3,74.9,74.9,74.9
CS-HTZ-DE-NUE-001,33.5,34.8,42.9,49.6,62.5,36.4,60.3,66.6,68.2,74.3,74.3,74.4,73.8,57.4
CS-HTZ-FI-HEL-000,70.7,47.6,33.6,1.18,73.5,61.8,68.8,69.0,69.9,72.6,74.9,74.6,75.0,74.9
CS-HTZ-US-ASH-000,88.9,43.1,44.8,4.89,,,,,,,,,,
CS-HTZ-US-DCA-000,,,,4.38,68.3,62.8,52.4,58.8,59.6,61.8,57.3,51.0,42.5,42.3
CS-HTZ-US-PDX-000,51.0,59.9,51.8,1.15,51.7,47.1,49.3,54.0,44.3,48.3,47.0,44.6,38.0,39.6
CS-OVH-CA-YUL-000,115,113,116,105,38.8,28.1,28.9,30.5,26.0,32.9,54.1,18.7,30.4,38.3
CS-ZON-AT-VIE-000,84.9,77.4,72.3,57.8,83.7,89.1,89.5,88.5,87.6,89.1,95.8,150,150,150
DL-CON-AU-SYD-000,26.8,24.5,24.2,24.7,26.7,28.6,31.3,29.6,25.8,25.2,26.7,42.1,45.4,56.6
FL-DOC-IN-BLR-025,29.9,31.7,27.7,28.0,27.6,25.8,27.6,32.0,29.9,18.4,20.8,44.2,49.2,52.9
FX-OVH-FR-LIL-001,42.9,39.2,49.2,56.0,73.1,86.0,52.4,68.2,63.2,1.09,45.5,65.5,60.2,0.627
GL-TRH-NO-OSL-777,45.0,40.9,40.6,49.5,82.8,74.0,87.2,86.9,88.1,68.6,119,119,116,120
IO-AZU-NL-AMS-001,33.5,34.9,30.7,34.6,42.2,46.0,37.8,55.5,4.72,66.2,20.3,66.8,74.2,50.7
IO-AZU-UK-LHR-001,77.4,77.5,70.0,71.7,10.9,64.9,87.5,84.4,78.5,68.2,15.3,34.9,32.8,29.5
