"host\Time","2023-12-18","2023-12-17","2023-12-16","2023-12-15","2023-12-14","2023-12-13","2023-12-12","2023-12-11","2023-12-10","2023-12-09","2023-12-08","2023-12-07","2023-12-06","2023-12-05"
IO-AZU-US-DCA-001,89.8,89.5,75.1,57.2,22.2,61.9,49.0,62.2,70.7,71.3,43.9,36.5,21.8,1.85
KZ-PQH-CH-ZRH-001,10.7,14.3,16.6,21.6,20.3,19.7,21.0,19.9,19.3,18.9,20.7,28.5,26.9,33.1
KZ-PQH-ES-MAD-001,14.4,15.9,15.9,21.2,23.3,25.5,25.8,25.7,22.6,22.0,14.2,27.7,26.7,61.2
KZ-PQH-NL-AMS-001,19.3,19.6,17.9,17.0,18.3,16.1,18.7,22.6,22.7,21.6,12.9,28.9,27.5,39.9
SC-COL-US-LAX-001,30.9,31.3,0,0,0,,,,,,,,,
SH-HTZ-US-ASH-000,,,,60.7,74.6,63.3,72.5,72.6,72.3,74.2,61.0,44.9,38.7,41.9
UBUNTU,,,13.2,19.1,4.73,,,,,,,,,
VM1924671.STARK-INDUSTRIES.SOLUTIONS,,,,4.49,4.28,,,,,,,,,
WD-CON-GB-LGW-004,29.8,30.8,8.60,0.292,9.53,8.80,8.75,8.59,12.3,3.43,22.7,26.7,26.3,31.7
WD-CON-SG-SIN-002,29.3,29.9,5.74,0.266,9.32,9.15,9.45,15.6,24.0,3.34,24.8,28.2,29.2,35.0
WD-ULT-TR-IST-003,21.3,17.9,17.1,15.7,16.5,19.2,16.7,21.8,22.2,2.91,22.1,21.4,18.9,21.9
WD-VUL-SE-ARN-001,62.5,63.4,67.0,1.57,83.1,88.1,89.0,87.6,86.3,74.1,74.7,74.7,73.5,71.5
WP-BLM-US-DCA-412,42.1,54.9,69.8,88.7,89.2,89.1,88.8,88.1,86.9,84.5,63.7,48.0,43.8,47.5
WP-BLM-US-DCA-724,4.93,,,,,,,,,,,,,
WP-BLM-US-IAD-412,37.3,85.1,81.7,63.5,65.6,81.8,71.9,78.7,79.5,60.5,7.57,41.1,28.3,38.3
WP-BLM-US-LAX-412,68.9,65.7,82.0,71.7,52.5,49.2,49.7,46.2,44.1,48.1,10.4,37.6,33.7,29.4
WP-CON-AU-SYD-412,2.36,,,,,,,,,,,,,
WP-CON-JP-NRT-412,20.7,22.3,26.0,27.2,20.4,20.6,26.6,26.0,30.3,33.4,7.01,27.0,48.3,26.2
WP-CON-JP-NRT-724,2.73,,,,,,,,,,,,,
WP-CON-SG-SIN-412,2.50,,,,,,,,,,,,,
WP-CON-US-SEA-412,20.9,16.1,14.7,16.2,16.5,19.0,20.2,16.9,14.5,16.2,17.3,29.6,30.0,29.9
WP-CON-US-STL-412,73.3,83.8,86.4,84.7,64.6,65.7,69.5,63.7,63.5,59.3,8.73,46.4,37.4,48.2
WP-CON-US-STL-724,3.66,,,,,,,,,,,,,
WP-HTZ-DE-DRS-412,52.3,43.3,51.1,55.3,75.5,71.4,87.5,80.4,79.9,63.5,10.9,74.7,75.0,74.9
WP-VUL-CL-SCL-412,,,,15.6,27.2,22.9,25.2,23.9,27.5,47.1,9.19,21.8,51.2,58.8
WP-VUL-IL-TLV-412,33.3,28.9,28.4,33.7,47.2,52.5,9.41,,,,,,,
WP-VUL-KR-GMP-412,5.49,,,,,,,,,,,,,
WP-VUL-MX-MEX-412,75.0,74.8,75.0,74.2,70.0,70.9,18.9,,,,,,,
ZZ-ZZZ-US-SLC-000,26.3,29.8,31.1,7.77,25.5,22.8,24.6,24.4,22.3,21.2,23.9,22.3,21.0,25.4
