"host\Time","2024-03-05","2024-03-04","2024-03-03","2024-03-02","2024-03-01","2024-02-29","2024-02-28","2024-02-27","2024-02-26","2024-02-25","2024-02-24","2024-02-23","2024-02-22","2024-02-21"
00-HTZ-FI-HEL-001,89.9,89.9,89.9,89.8,89.3,89.7,88.9,89.7,89.1,89.9,89.9,88.9,89.9,89.2
00-HTZ-FI-HEL-002,89.9,89.9,89.9,89.5,87.3,87.8,89.3,89.8,89.9,89.9,12.3,89.9,89.9,88.8
07E4DFBEFBA8,,,,,,,,,,,0.0117,,,
09649CD6A442,,,,,,,,,,0.00347,,,,
09D5877DD1B0,,,,,,,,,,0.0104,,,,
40F1CE7924CE,,,,,,,,,,,0.00370,,,
44963749B127,,,,,,,,,,0.000289,,,,
4N-DED-US-ATL-001,65.3,89.4,89.0,89.8,89.7,88.8,89.4,89.7,89.8,89.9,89.9,89.7,89.7,89.9
4N-DED-US-DFW-US7,54.0,71.4,64.5,73.1,77.9,71.7,81.7,81.3,80.4,88.7,84.2,78.6,72.7,73.6
4N-REL-US-MIA-US8,62.1,83.4,68.4,70.6,67.4,60.2,58.9,77.9,78.1,86.3,86.2,56.3,48.6,52.4
4N-RSI-US-EWR-002,65.8,89.9,89.9,89.8,90.0,89.7,89.9,89.9,89.9,90.0,89.9,89.7,89.9,89.6
4N-WST-NL-AMS-001,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.9,89.9,89.9,89.9,89.9
70F8A0771212,,,,,,,,,,1.40,0.383,,,
9B6BA28642A9,,,,,,,,,,1.44,0.275,,,
AQ-CON-DE-DUS-322,48.5,39.1,36.2,41.4,34.4,46.6,46.2,51.0,46.7,52.1,52.0,37.5,40.6,40.5
AQ-CON-JP-NRT-322,31.0,33.8,32.9,31.4,24.7,20.6,25.6,26.8,25.0,30.6,31.5,30.4,27.7,27.6
AQ-VUL-CL-SCL-322,39.2,41.9,34.9,31.7,40.4,35.4,39.9,41.7,38.4,44.0,30.8,26.8,26.6,27.6
AQ-VUL-MX-MEX-322,87.5,87.8,87.7,89.0,86.9,82.7,86.2,89.1,89.7,89.9,89.7,87.7,88.2,88.0
BC-PQH-TR-IST-456,39.2,37.1,38.6,36.3,42.0,35.0,36.8,50.9,58.6,65.4,79.3,54.6,50.9,42.4
BD-SSD-AU-SYD-001,28.9,29.0,25.0,24.4,25.5,27.4,26.8,29.6,24.9,25.2,23.0,22.7,21.7,21.8
BD-ZON-AT-VIE-000,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.9,89.9,89.8,89.8,90.0,90.0
