"host\Time","2024-03-05","2024-03-04","2024-03-03","2024-03-02","2024-03-01","2024-02-29","2024-02-28","2024-02-27","2024-02-26","2024-02-25","2024-02-24","2024-02-23","2024-02-22","2024-02-21"
BO-HTZ-US-PDX-085,89.4,89.4,89.1,88.3,89.3,89.2,89.4,87.8,84.4,85.3,88.6,87.4,74.3,84.9
BO-STR-DE-BER-001,37.1,37.0,34.5,34.2,35.9,40.1,39.1,39.9,35.9,34.7,34.4,33.7,30.5,29.2
CAD012DACE76,,,,,,,,,,0.000116,,,,
CR-DED-US-ICT-111,,,24.8,37.2,35.8,35.1,35.1,33.7,30.3,34.8,32.8,32.0,31.1,31.9
CR-DOC-DE-FRA-008,65.6,66.0,66.3,64.5,80.2,74.6,69.4,81.4,62.7,50.2,40.9,43.2,37.6,33.8
CR-WOR-NL-RTM-666,89.8,89.2,89.3,89.0,89.6,88.9,89.6,89.5,89.0,89.8,90.0,89.9,90.0,89.8
CS-COL-NL-AMS-000,44.1,44.5,45.2,43.3,49.0,44.1,42.5,40.8,33.1,31.7,33.2,35.3,40.8,36.5
CS-COL-US-ALB-000,65.6,60.6,58.5,48.1,56.1,60.1,62.3,52.8,42.3,42.1,40.2,46.4,43.3,45.1
CS-CON-US-CAE-000,,,,,,,,,,,15.3,89.7,89.7,89.8
CS-HTZ-DE-BYU-001,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.8,89.9,90.0,90.0,90.0,90.0
CS-HTZ-DE-NUE-001,89.9,89.9,89.9,89.8,89.8,89.7,89.9,89.8,89.9,90.0,90.0,89.7,89.9,90.0
CS-HTZ-FI-HEL-000,90.0,90.0,90.0,90.0,90.0,90.0,89.9,89.9,90.0,89.9,89.9,89.8,90.0,89.8
CS-HTZ-US-PDX-000,74.8,74.7,74.6,74.4,74.8,74.6,74.8,74.0,73.8,74.5,74.6,74.5,73.1,74.3
CS-ZON-AT-VIE-000,,,,,,,,,,,,85.8,88.6,89.5
DL-CON-AU-SYD-000,37.2,34.0,34.0,34.2,38.5,39.1,41.6,43.8,34.2,30.1,31.7,33.2,31.7,31.4
E2B6FED009E5,,,,,,,,,,,0.0353,,,
FF-CON-US-SEA-777,43.8,42.3,40.6,39.2,37.6,38.1,38.8,37.6,34.9,34.7,32.5,32.3,32.3,34.9
FL-DOC-IN-BLR-025,69.2,63.3,60.5,52.5,48.3,60.5,73.9,66.2,56.8,5.88,44.0,35.1,33.1,28.3
FL-DOC-US-SFO-027,83.1,70.0,76.2,55.7,59.3,51.2,58.7,83.5,75.2,55.7,68.7,65.0,77.0,73.1
FX-OVH-FR-LIL-001,90.0,90.0,90.0,89.8,89.4,89.7,89.3,89.7,89.6,90.0,89.7,89.1,89.4,88.0
GJ-ONE-BR-GRU-614,30.2,29.7,28.8,27.3,26.4,25.9,26.3,28.0,7.77,7.59,23.1,23.8,20.8,22.9
GJ-ONE-ZA-JNB-614,34.4,33.0,31.4,30.9,32.7,30.3,31.8,32.4,30.7,30.5,29.5,30.7,27.1,25.8
GL-TRH-NO-OSL-777,89.3,89.3,89.1,86.8,88.8,88.3,87.9,86.9,88.2,89.9,89.9,89.7,89.9,89.6
HS-CON-US-STL-001,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.99,0.547,,,,
HS-HTZ-DE-NUE-002,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,0.00370,,,,
IM-OVH-CA-YUL-123,32.5,32.7,32.2,31.3,31.7,30.7,26.8,28.1,70.1,69.2,72.7,70.0,67.4,68.6
IO-CUP-AT-VIE-001,89.7,89.8,89.1,89.8,89.7,89.9,90.0,89.9,89.2,84.5,86.6,89.3,89.4,89.9
IO-CUP-DE-FMM-001,68.5,67.5,69.1,63.4,83.6,83.0,81.5,82.2,67.4,62.6,63.3,67.0,57.2,58.7
IO-CUP-DE-NUE-001,68.4,71.4,70.4,74.8,83.0,82.8,81.3,68.6,67.4,61.1,64.5,63.1,72.6,65.3
KZ-DDM-FR-ORY-002,77.4,88.0,88.5,79.8,80.1,83.5,66.8,67.5,75.9,69.8,78.1,62.5,66.7,59.3
KZ-RAC-US-BUF-001,88.4,70.7,88.4,88.8,87.6,86.0,89.1,89.8,89.8,89.9,89.9,89.9,89.9,89.9
NH-4VP-CN-HKG-002,39.3,34.8,33.2,38.2,28.8,37.5,40.0,35.2,26.2,24.2,24.6,26.5,25.1,25.1
NH-4VP-ES-MAD-001,88.6,88.8,89.5,89.5,85.7,77.4,61.9,77.4,57.1,51.3,59.4,55.7,69.0,81.1
NH-4VP-RU-LED-001,86.6,90.0,90.0,90.0,87.4,86.1,85.7,84.2,87.1,86.0,70.7,72.5,69.0,66.8
QY-OVH-FR-SXB-002,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,89.9,90.0,90.0,89.9,90.0,90.0
QY-OVH-SG-SIN-001,80.0,79.0,77.2,75.2,79.8,61.5,17.4,6.44,76.1,76.4,72.1,67.8,66.9,66.0
RS-BLU-IT-PMO-001,88.7,87.7,80.5,77.9,3.78,,,,,,,,,
RS-LIG-AE-DXB-001,,,,,15.8,24.6,24.6,23.3,21.5,23.5,22.8,22.1,22.5,23.7
RS-LIG-VN-SGN-001,,,,,21.4,41.2,42.3,42.8,43.0,42.5,42.3,40.7,39.1,39.7
RS-OVH-PL-WAW-001,87.7,87.3,86.5,66.8,88.3,89.8,87.6,81.8,79.9,84.4,73.9,35.8,,
RS-PQH-IT-FCO-001,,,,,,,,22.5,35.0,31.6,33.6,33.7,36.4,35.6
RS-PQH-PL-WAW-001,,,,,,,,,,,,15.6,25.2,28.7
RS-SPA-IT-FCO-001,,,,,,,55.5,23.8,,,,,,
RS-SPA-LT-VNO-001,88.4,86.3,89.0,88.0,88.7,85.2,27.9,,,,,,,
SC-COL-US-LAX-001,42.5,40.8,37.2,36.3,37.2,37.1,40.0,36.7,36.8,37.7,36.2,38.4,36.6,39.6
SH-HTZ-US-ASH-001,89.6,87.8,87.6,89.5,89.9,89.8,89.8,89.9,89.9,89.9,89.9,90.0,90.0,90.0
TA-CUP-AT-VIE-420,29.5,28.8,27.8,27.9,29.2,28.8,29.3,27.6,27.0,27.1,25.4,26.7,27.6,25.5
TA-TRH-US-MCI-420,89.2,89.5,89.1,89.6,89.5,87.4,88.3,86.3,87.6,85.7,87.3,83.9,81.8,84.7
TA-VUL-US-PHX-420,42.6,41.3,39.4,35.2,37.7,36.7,36.4,33.0,31.7,38.5,37.3,34.4,33.8,35.2
TY-OVH-FR-OST-930,89.9,89.9,90.0,67.3,,,73.6,89.2,89.9,90.0,89.9,89.9,89.9,89.4
TY-OVH-FRA-OST-930,,,,21.1,6.25,,,,,,,,,
TY-VUL-CL-SCL-930,36.9,37.6,34.1,34.2,38.2,36.5,36.3,41.1,35.2,40.1,31.0,27.0,42.1,31.0
TY-WLI-US-ACY-930,89.8,89.8,88.4,89.7,89.9,89.6,89.7,87.0,89.7,89.0,89.4,88.2,88.5,89.0
WD-CON-GB-LGW-004,52.1,54.5,69.3,83.5,89.3,89.7,70.8,38.9,53.9,58.3,41.9,34.0,34.0,36.1
WD-CON-SG-SIN-002,59.3,56.5,49.2,51.3,52.6,54.2,57.8,48.3,38.6,40.2,42.8,41.1,42.2,40.9
WD-PQH-KZ-NQZ-001,29.4,30.7,5.80,,,,,,,,,,,
WD-PQH-SE-ARN-001,,,,30.7,36.0,33.5,32.8,38.7,30.4,27.4,30.4,32.8,34.8,33.7
WD-ULT-TR-IST-003,40.1,35.8,51.0,48.9,48.1,50.2,42.0,43.2,39.4,32.9,36.6,40.0,36.0,34.1
WP-CON-AU-SYD-412,33.1,31.7,33.4,32.4,33.6,33.0,39.0,40.7,31.1,27.3,32.2,34.5,35.4,36.5
WP-CON-SG-SIN-412,31.5,31.3,29.2,30.0,27.6,28.7,28.0,27.0,24.0,25.7,27.6,30.6,29.8,28.9
WP-VUL-KR-GMP-412,63.9,59.7,56.6,77.9,86.4,87.1,74.6,62.9,44.8,48.4,42.9,41.8,61.8,71.5
XA-PQH-IS-RKV-001,38.5,38.9,37.8,35.4,45.4,89.0,59.4,25.7,26.4,22.6,20.8,22.5,21.3,21.2
ZZ-ZZZ-US-SLC-000,44.3,36.0,33.7,35.0,33.2,30.9,31.8,30.3,29.4,31.3,28.6,27.8,34.6,29.8
