"host\Time","2023-12-11","2023-12-10","2023-12-09","2023-12-08","2023-12-07","2023-12-06","2023-12-05","2023-12-04","2023-12-03","2023-12-02","2023-12-01","2023-11-30","2023-11-29","2023-11-28"
00-HTZ-FI-HEL-001,40.4,39.7,23.2,19.0,74.0,74.9,74.7,74.9,73.7,75.0,71.8,74.6,74.8,74.2
00-HTZ-FI-HEL-002,80.7,85.5,34.7,72.2,74.0,74.9,74.5,75.0,74.8,74.7,73.2,74.6,74.7,62.0
4N-DED-US-ATL-001,53.2,80.7,72.6,46.9,39.1,34.2,36.6,38.8,45.1,36.1,39.8,39.4,43.7,63.1
4N-DED-US-DFW-US7,36.8,30.4,32.3,25.8,22.3,30.2,30.2,31.7,35.7,33.7,35.8,36.2,36.9,40.7
4N-REL-US-MIA-US8,36.1,28.2,31.5,22.3,20.3,20.3,20.5,25.5,31.2,32.0,31.7,32.2,32.7,36.5
4N-RSI-US-EWR-002,60.2,56.3,56.8,52.2,30.1,27.6,30.9,28.6,39.6,31.2,38.6,40.7,39.3,71.0
4N-WST-NL-AMS-001,77.6,63.7,67.7,88.5,107,101,51.8,43.7,42.4,156,190,177,115,77.2
BD-SSD-AU-SYD-001,27.2,29.7,29.1,27.5,36.0,40.7,52.7,73.1,72.5,73.1,64.1,41.2,50.1,33.7
BD-SSD-JP-NRT-000,19.0,20.2,19.1,19.9,18.3,20.5,5.92,,,,40.9,34.9,35.8,26.1
BD-SSD-US-ATL-000,7.95,29.1,28.0,13.2,22.8,21.2,12.7,27.2,24.7,23.7,23.9,29.7,27.6,30.7
BD-VUL-GB-LHR-000,,,,,,,,,,,,,33.7,70.0
BD-ZON-AT-VIE-000,87.8,88.7,89.6,91.8,123,125,123,123,123,124,123,122,125,124
BO-STR-DE-BER-001,22.2,22.0,24.2,23.9,37.8,34.6,60.8,91.8,97.3,96.8,94.5,87.8,87.7,44.1
CR-DOC-DE-FRA-008,56.5,68.0,73.6,20.1,69.5,74.5,74.0,62.3,36.5,8.01,,,,
CS-COL-NL-AMS-000,19.8,4.03,,,,,,,,,,,,
CS-COL-US-ALB-000,24.6,4.79,,,,25.4,30.0,34.5,37.0,27.2,37.6,58.1,1.15,
CS-COL-US-COS-000,25.8,26.6,25.5,21.9,18.0,18.2,21.5,23.4,23.2,21.8,19.7,17.6,0.00625,
CS-CON-DE-DUS-000,47.8,10.2,,,,,,,,,,,,
CS-CON-US-CAE-000,70.8,68.9,64.0,64.7,38.2,37.3,44.3,42.1,30.8,27.2,36.3,48.3,49.5,66.7
CS-HTZ-DE-BYU-001,76.8,82.8,88.1,46.5,70.5,80.1,85.7,82.8,79.1,85.4,72.9,82.3,87.1,86.5
CS-HTZ-DE-NUE-000,68.2,72.1,74.6,73.3,74.9,74.9,74.9,75.0,73.9,47.9,38.0,50.1,22.8,87.4
CS-HTZ-DE-NUE-001,66.6,68.2,74.3,74.3,74.4,73.8,57.4,0.0454,,,,,,
CS-HTZ-FI-HEL-000,69.0,69.9,72.6,74.9,74.6,75.0,74.9,75.0,74.8,74.9,73.5,74.9,74.9,74.7
CS-HTZ-US-DCA-000,58.8,59.6,61.8,57.3,51.0,42.5,42.3,49.3,55.5,47.9,46.9,48.5,51.4,59.3
CS-HTZ-US-PDX-000,54.0,44.3,48.3,47.0,44.6,38.0,39.6,37.7,41.9,37.9,37.9,45.0,46.8,53.3
CS-OVH-CA-YUL-000,30.5,26.0,32.9,54.1,18.7,30.4,38.3,36.3,36.3,34.3,41.5,43.4,42.1,53.0
CS-OVH-US-ASH-000,,,,,,,,,,,,,,26.1
CS-ZON-AT-VIE-000,88.5,87.6,89.1,95.8,150,150,150,150,150,150,150,54.6,150,149
DL-CON-AU-SYD-000,29.6,25.8,25.2,26.7,42.1,45.4,56.6,74.4,74.0,74.3,64.4,44.1,53.2,36.3
FL-DOC-IN-BLR-025,32.0,29.9,18.4,20.8,44.2,49.2,52.9,68.1,60.1,54.7,58.3,45.2,39.5,32.9
FX-OVH-FR-LIL-001,68.2,63.2,1.09,45.5,65.5,60.2,0.627,,,,,,,
GL-TRH-NO-OSL-777,86.9,88.1,68.6,119,119,116,120,120,119,119,110,117,120,116
IO-AZU-NL-AMS-001,55.5,4.72,66.2,20.3,66.8,74.2,50.7,2.14,2.22,,,,,
IO-AZU-UK-LHR-001,84.4,78.5,68.2,15.3,34.9,32.8,29.5,2.78,,,,,,
IO-AZU-US-DCA-001,62.2,70.7,71.3,43.9,36.5,21.8,1.85,,,,,,,
KZ-PQH-CH-ZRH-001,19.9,19.3,18.9,20.7,28.5,26.9,33.1,74.1,19.9,95.4,3.61,,,
KZ-PQH-ES-MAD-001,25.7,22.6,22.0,14.2,27.7,26.7,61.2,,,,,,,
KZ-PQH-NL-AMS-001,22.6,22.7,21.6,12.9,28.9,27.5,39.9,37.8,20.5,12.7,,,,
SH-HTZ-US-ASH-000,72.6,72.3,74.2,61.0,44.9,38.7,41.9,46.4,44.8,37.7,51.9,51.6,51.4,59.6
WD-CON-GB-LGW-004,8.59,12.3,3.43,22.7,26.7,26.3,31.7,40.5,33.4,42.0,31.6,28.6,28.4,28.4
WD-CON-SG-SIN-002,15.6,24.0,3.34,24.8,28.2,29.2,35.0,38.6,27.6,41.9,34.6,29.9,30.3,26.9
WD-ULT-TR-IST-003,21.8,22.2,2.91,22.1,21.4,18.9,21.9,27.3,56.4,36.1,30.4,34.7,42.4,27.1
WD-VUL-SE-ARN-001,87.6,86.3,74.1,74.7,74.7,73.5,71.5,75.0,74.9,74.8,74.2,74.6,74.9,74.7
WP-BLM-US-DCA-412,88.1,86.9,84.5,63.7,48.0,43.8,47.5,56.2,80.5,41.2,62.5,91.7,90.9,102
WP-BLM-US-IAD-412,78.7,79.5,60.5,7.57,41.1,28.3,38.3,45.2,56.8,39.1,46.7,70.8,84.0,86.0
WP-BLM-US-LAX-412,46.2,44.1,48.1,10.4,37.6,33.7,29.4,32.0,35.1,33.0,35.0,40.3,44.8,57.1
WP-CON-DE-DRS-412,,,,,,,,,0.0215,,,,,
WP-CON-JP-HND-412,,,,,,,,,1.50,47.7,28.0,42.7,38.0,22.9
WP-CON-JP-NRT-412,26.0,30.3,33.4,7.01,27.0,48.3,26.2,36.5,28.7,,,,,
WP-CON-US-SEA-412,16.9,14.5,16.2,17.3,29.6,30.0,29.9,33.3,32.0,33.7,30.2,31.5,33.7,31.9
WP-CON-US-STL-412,63.7,63.5,59.3,8.73,46.4,37.4,48.2,47.8,56.3,45.2,52.2,64.4,59.2,67.9
WP-HTZ-DE-DRS-412,80.4,79.9,63.5,10.9,74.7,75.0,74.9,75.0,44.8,,,,,
WP-HTZ-DE-HOQ-412,,,,,,,,,3.81,74.0,72.2,73.1,75.0,74.6
WP-VUL-CL-SCL-412,23.9,27.5,47.1,9.19,21.8,51.2,58.8,26.5,50.0,53.1,34.7,46.8,54.0,38.4
ZZ-ZZZ-US-SLC-000,24.4,22.3,21.2,23.9,22.3,21.0,25.4,26.8,23.9,25.6,25.0,27.1,28.5,27.6
