"host\Time","2023-12-07","2023-12-06","2023-12-05","2023-12-04","2023-12-03","2023-12-02","2023-12-01","2023-11-30","2023-11-29","2023-11-28","2023-11-27","2023-11-26","2023-11-25","2023-11-24"
00-HTZ-FI-HEL-001,74.0,74.9,74.7,74.9,73.7,75.0,71.8,74.6,74.8,74.2,74.4,74.5,74.9,74.5
00-HTZ-FI-HEL-002,74.0,74.9,74.5,75.0,74.8,74.7,73.2,74.6,74.7,62.0,58.0,59.0,56.8,73.4
4N-DED-US-ATL-001,39.1,34.2,36.6,38.8,45.1,36.1,39.8,39.4,43.7,63.1,41.4,50.3,65.5,84.8
4N-DED-US-DFW-US7,22.3,30.2,30.2,31.7,35.7,33.7,35.8,36.2,36.9,40.7,42.0,42.6,51.9,51.9
4N-REL-US-MIA-US8,20.3,20.3,20.5,25.5,31.2,32.0,31.7,32.2,32.7,36.5,44.1,43.2,47.9,53.9
4N-RSI-US-EWR-002,30.1,27.6,30.9,28.6,39.6,31.2,38.6,40.7,39.3,71.0,48.3,47.4,69.9,95.0
4N-WST-NL-AMS-001,107,101,51.8,43.7,42.4,156,190,177,115,77.2,111,43.2,56.2,127
BD-SSD-AU-SYD-001,36.0,40.7,52.7,73.1,72.5,73.1,64.1,41.2,50.1,33.7,35.5,33.0,36.0,39.8
BD-SSD-JP-NRT-000,18.3,20.5,5.92,,,,40.9,34.9,35.8,26.1,28.4,27.1,26.4,32.0
BD-SSD-US-ATL-000,22.8,21.2,12.7,27.2,24.7,23.7,23.9,29.7,27.6,30.7,32.8,33.2,36.1,7.95
BD-VUL-GB-LHR-000,,,,,,,,,33.7,70.0,69.2,65.2,72.3,74.6
BD-ZON-AT-VIE-000,123,125,123,123,123,124,123,122,125,124,121,120,122,125
BO-STR-DE-BER-001,37.8,34.6,60.8,91.8,97.3,96.8,94.5,87.8,87.7,44.1,63.1,76.1,75.5,90.1
CR-DOC-DE-FRA-008,69.5,74.5,74.0,62.3,36.5,8.01,,,,,,,,
CS-COL-US-ALB-000,,25.4,30.0,34.5,37.0,27.2,37.6,58.1,1.15,,,,,
CS-COL-US-COS-000,18.0,18.2,21.5,23.4,23.2,21.8,19.7,17.6,0.00625,,,,,
CS-CON-US-CAE-000,38.2,37.3,44.3,42.1,30.8,27.2,36.3,48.3,49.5,66.7,70.1,71.4,61.6,11.3
CS-HTZ-DE-BYU-001,70.5,80.1,85.7,82.8,79.1,85.4,72.9,82.3,87.1,86.5,89.3,89.6,89.7,12.9
CS-HTZ-DE-NUE-000,74.9,74.9,74.9,75.0,73.9,47.9,38.0,50.1,22.8,87.4,89.7,89.8,89.8,86.3
CS-HTZ-DE-NUE-001,74.4,73.8,57.4,0.0454,,,,,,,,,,
CS-HTZ-FI-HEL-000,74.6,75.0,74.9,75.0,74.8,74.9,73.5,74.9,74.9,74.7,74.4,74.7,74.8,71.7
CS-HTZ-US-DCA-000,51.0,42.5,42.3,49.3,55.5,47.9,46.9,48.5,51.4,59.3,56.1,62.2,70.4,77.3
CS-HTZ-US-PDX-000,44.6,38.0,39.6,37.7,41.9,37.9,37.9,45.0,46.8,53.3,51.4,50.8,50.2,64.1
CS-OVH-CA-YUL-000,18.7,30.4,38.3,36.3,36.3,34.3,41.5,43.4,42.1,53.0,53.4,52.0,52.6,57.6
CS-OVH-US-ASH-000,,,,,,,,,,26.1,33.1,40.2,51.5,22.8
CS-ZON-AT-VIE-000,150,150,150,150,150,150,150,54.6,150,149,149,149,148,11.3
DL-CON-AU-SYD-000,42.1,45.4,56.6,74.4,74.0,74.3,64.4,44.1,53.2,36.3,46.4,42.3,45.4,50.9
FL-DOC-IN-BLR-025,44.2,49.2,52.9,68.1,60.1,54.7,58.3,45.2,39.5,32.9,5.80,53.6,52.6,51.6
FX-OVH-FR-LIL-001,65.5,60.2,0.627,,,,,,,,,,,
GL-TRH-NO-OSL-777,119,116,120,120,119,119,110,117,120,116,108,105,106,113
IO-AZU-NL-AMS-001,66.8,74.2,50.7,2.14,2.22,,,,,,,,,
IO-AZU-UK-LHR-001,34.9,32.8,29.5,2.78,,,,,,,,,,
IO-AZU-US-DCA-001,36.5,21.8,1.85,,,,,,,,,,,
KZ-PQH-CH-ZRH-001,28.5,26.9,33.1,74.1,19.9,95.4,3.61,,,,,,,
KZ-PQH-ES-MAD-001,27.7,26.7,61.2,,,,,,,,,,,
KZ-PQH-NL-AMS-001,28.9,27.5,39.9,37.8,20.5,12.7,,,,,,,,
SH-HTZ-US-ASH-000,44.9,38.7,41.9,46.4,44.8,37.7,51.9,51.6,51.4,59.6,68.4,64.7,67.4,72.4
WD-CON-GB-LGW-004,26.7,26.3,31.7,40.5,33.4,42.0,31.6,28.6,28.4,28.4,30.6,31.0,32.2,37.9
WD-CON-SG-SIN-002,28.2,29.2,35.0,38.6,27.6,41.9,34.6,29.9,30.3,26.9,23.8,24.0,25.9,28.3
WD-ULT-TR-IST-003,21.4,18.9,21.9,27.3,56.4,36.1,30.4,34.7,42.4,27.1,29.6,35.3,23.6,0.000579
WD-VUL-SE-ARN-001,74.7,73.5,71.5,75.0,74.9,74.8,74.2,74.6,74.9,74.7,74.9,74.9,74.9,73.9
WP-BLM-US-DCA-412,48.0,43.8,47.5,56.2,80.5,41.2,62.5,91.7,90.9,102,91.3,97.7,12.4,
WP-BLM-US-IAD-412,41.1,28.3,38.3,45.2,56.8,39.1,46.7,70.8,84.0,86.0,84.2,78.7,92.7,129
WP-BLM-US-LAX-412,37.6,33.7,29.4,32.0,35.1,33.0,35.0,40.3,44.8,57.1,50.6,54.9,57.8,71.9
WP-CON-DE-DRS-412,,,,,0.0215,,,,,,,,,
